10
10
10
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;F;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B
0.8
1
